		1			2			3			4
ya3		0.200		0.500		0.450		0.439
ya5		0.167		0.139		0.125		0.138
ya6		0.731		0.645		0.774		0.745
ya9		0.135		0.105		0.150		0.140
ya12	0.103		0.154		0.100		0.094
ya13	0.694		0.811		0.700		0.747
ya15	0.619		0.656		0.744		0.672
ya17	0.182		0.417		0.300		0.345
ya18	0.158		0.125		0.125		0.190
ya19	0.371		0.368		0.250		0.225
ya20	0.212		0.184		0.105		0.114
ya21	0.105		0.150		0.179		0.189
ya22	0.108		0.282		0.175		0.156
ya23	0.208		0.184		0.125		0.176
ya24	0.842		0.900		0.825		0.767
ya25	0.368		0.368		0.282		0.311
ya26	0.351		0.289		0.316		0.371
ya27	0.257		0.216		0.308		0.263
ya29	0.286		0.150		0.150		0.249
ya30	0.444		0.400		0.475		0.386
ya31	0.432		0.359		0.282		0.227
ya32	0.688		0.500		0.541		0.574
ya33	0.081		0.079		0.139		0.088
