		6			7			8			9			10			12
ya1		0.700		0.650		0.688		0.662		0.525		0.571
ya2		0.300		0.250		0.312		0.325		0.350		0.333
ya3		0.250		0.200		0.375		0.287		0.400		0.175
ya4		0.100		0.075		0.125		0.127		0.125		0.128
ya5		0.225		0.100		0.037		0.125		0.150		0.175
ya6		0.317		0.425		0.287		0.300		0.350		0.250
ya7		0.410		0.400		0.438		0.575		0.650		0.703
ya8		0.575		0.500		0.487		0.500		0.600		0.575
ya9		0.171		0.243		0.191		0.286		0.250		0.176
ya12	0.275		0.175		0.138		0.200		0.250		0.184
ya13	0.675		0.700		0.662		0.700		0.725		0.538
ya15	0.575		0.700		0.537		0.562		0.425		0.579
ya16	0.500		0.575		0.487		0.438		0.575		0.375
ya17	0.200		0.050		0.163		0.150		0.125		0.273
ya18	0.125		0.100		0.200		0.200		0.100		0.075
ya19	0.350		0.450		0.312		0.338		0.525		0.395
ya20	0.125		0.200		0.113		0.100		0.125		0.079
ya21	0.100		0.175		0.175		0.188		0.250		0.103
ya22	0.268		0.375		0.200		0.287		0.225		0.216
ya23	0.175		0.300		0.138		0.175		0.075		0.105
ya24	0.525		0.625		0.637		0.575		0.650		0.432
ya25	0.325		0.275		0.312		0.275		0.400		0.410
ya26	0.100		0.150		0.225		0.175		0.250		0.051
ya27	0.300		0.275		0.325		0.405		0.550		0.297
ya29	0.275		0.150		0.175		0.215		0.325		0.282
ya30	0.575		0.575		0.725		0.637		0.450		0.333
ya31	0.350		0.400		0.375		0.362		0.250		0.500
ya32	0.650		0.500		0.650		0.588		0.650		0.590
ya33	0.050		0.200		0.125		0.075		0.100		0.103
