		1			2			4			5			11
ya1		0.800		0.700		0.746		0.650		0.775
ya2		0.475		0.500		0.529		0.450		0.525
ya3		0.400		0.500		0.463		0.275		0.500
ya4		0.075		0.075		0.125		0.150		0.108
ya5		0.075		0.150		0.083		0.200		0.205
ya6		0.275		0.425		0.325		0.275		0.135
ya7		0.475		0.550		0.592		0.575		0.525
ya8		0.350		0.300		0.317		0.350		0.350
ya9		0.150		0.175		0.179		0.175		0.125
ya12	0.100		0.250		0.154		0.200		0.200
ya13	0.750		0.950		0.900		0.925		0.694
ya15	0.500		0.400		0.442		0.400		0.513
ya16	0.600		0.575		0.629		0.650		0.450
ya17	0.300		0.300		0.293		0.250		0.270
ya18	0.100		0.075		0.183		0.025		0.225
ya19	0.400		0.415		0.425		0.500		0.412
ya20	0.050		0.100		0.096		0.125		0.054
ya21	0.150		0.250		0.146		0.100		0.025
ya22	0.650		0.550		0.671		0.600		0.541
ya23	0.125		0.225		0.217		0.125		0.179
ya24	0.900		0.900		0.900		0.825		0.857
ya25	0.425		0.500		0.492		0.500		0.486
ya26	0.500		0.475		0.446		0.350		0.474
ya27	0.675		0.500		0.529		0.425		0.450
ya29	0.325		0.250		0.200		0.275		0.189
ya30	0.575		0.525		0.588		0.625		0.500
ya31	0.175		0.075		0.154		0.100		0.300
ya32	0.525		0.600		0.633		0.625		0.625
ya33	0.050		0.075		0.104		0.125		0.051
