		1			2			3			4			5
ya1		0.672		0.667		0.730		0.750		0.500
ya2		0.375		0.281		0.391		0.650		0.550
ya3		0.682		0.630		0.581		0.714		0.800
ya4		0.328		0.453		0.344		0.250		0.300
ya5		0.062		0.094		0.016		0.100		0.200
ya6		0.438		0.500		0.484		0.700		0.600
ya7		0.375		0.391		0.406		0.350		0.550
ya8		0.219		0.109		0.109		0.150		0.200
ya9		0.125		0.203		0.234		0.050		0.200
ya12	0.141		0.141		0.109		0.150		0.200
ya13	0.719		0.859		0.781		0.850		0.900
ya15	0.359		0.328		0.406		0.350		0.500
ya16	0.203		0.231		0.206		0.300		0.400
ya17	0.359		0.297		0.266		0.450		0.350
ya18	0.312		0.234		0.328		0.100		0.300
ya19	0.359		0.234		0.391		0.300		0.550
ya20	0.031		0.141		0.172		0.300		0.200
ya21	0.438		0.297		0.344		0.250		0.200
ya22	0.234		0.281		0.125		0.250		0.250
ya23	0.159		0.250		0.258		0.300		0.100
ya24	0.695		0.678		0.678		0.684		0.600
ya25	0.719		0.828		0.719		1.000		0.950
ya26	0.172		0.172		0.125		0.100		0.050
ya27	0.547		0.547		0.609		0.550		0.600
ya29	0.375		0.266		0.219		0.400		0.250
ya30	0.375		0.547		0.438		0.500		0.650
ya31	0.062		0.047		0.031		0.100		0.000
ya32	0.484		0.406		0.375		0.500		0.550
ya33	0.062		0.031		0.047		0.100		0.000
